,Name,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
4716,Senior Executive Presales,Bengaluru,,BD / Pre Sales Department,3 May 2022,5.0,4.0,5.0,3.0,5.0,4.0,3.0,less growth poor judgement of employee performance,nothing
4717,Service Supervisor,Kancheepuram,,Product Support / CMB Department,4 Jun 2022,4.0,3.0,5.0,2.0,4.0,3.0,2.0,they usually selected you in your related domain and after joined they keep you in different work domain they dont have much projects,overall good company to get better opportunity to learn
4720,Senior Engineer,Mauritius,Full Time,,0 Jun 2022,5.0,4.0,5.0,5.0,5.0,5.0,5.0,very good management timely payment and compensation,nothing to mention
4721,Site Engineer,"Marwar Junction, Rajasthan",Full Time,Construction Engineering Department,1 Jan 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,all site and officecly work,nothing
4722,Administration Assistant,"Barmer, Rajasthan",,BD / Pre Sales Department,7 Jun 2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no like bad company,very bad company
4723,Junior Site Engineer,Hapur UTTARPARDESH,,Construction Engineering Department,3 Apr 2022,5.0,4.0,5.0,2.0,3.0,4.0,1.0,good work md best management senior are very suppurative policies r good,salary is not good for regular staff no time for us only work work work
4724,Environment Officer,Mumbai,,,3 Jul 2022,3.0,3.0,3.0,2.0,2.0,2.0,2.0,company is very good but management very bad not listen any problem and don t support,on time salary
4725,Assistant Operations And Maintenance Manager,Mumbai,,Construction Engineering Department,2 May 2022,5.0,3.0,5.0,4.0,5.0,4.0,4.0,delayed decisions and centralized approval,flexible working after could
4726,Senior Consultant,Pune,,IT Consulting Department,8 Apr 2022,3.0,2.0,3.0,2.0,4.0,3.0,1.0,no opportunities for growth you get stuck in single project client for long,giving opportunities for career growth on accepting our excellence
4727,Manager Accounts Administration,BAngalore,,,6 Jun 2022,5.0,4.0,5.0,5.0,5.0,5.0,5.0,work life balance,etc division are good and work life line are good
4728,Site Execution Engineer,Fridabad,,Construction Engineering Department,9 Jun 2022,5.0,4.0,4.0,4.0,4.0,4.0,4.0,learning and growth opportunity,bureaucracy
4730,Engineer,Chennai,Full Time,Engineering Department,7 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,lots is really a great place to work,nail
4731,Nursing,Deoband,Full Time,,7 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,this company is very good takes care of its employees very well does not allow any kind of trouble to it,a little time is too much work
4732,Assistant Manager (electrical),Kolkata,,Construction Engineering Department,4 May 2022,4.0,3.0,4.0,4.0,3.0,4.0,4.0,overall good experience,overall it infrastructure need to develop
4733,Safety Engineer,Visakhapatnam,,Community Health & Safety Department,5 May 2022,4.0,4.0,4.0,4.0,4.0,4.0,4.0,good working cult,poor administration
4734,Technician,Combaitore,,Composite Department,3 Jun 2022,3.0,3.0,4.0,3.0,3.0,3.0,3.0,atmosphere and senior also like,full politics
4735,Civil Site Supervisor,"Begusarai, Bihar",,,5 Aug 2022,5.0,5.0,3.0,3.0,3.0,1.0,2.0,good working area,time shift
4736,Quality Engineer,Ahmednagar,,ESE division Department,0 Oct 2019,3.0,2.0,4.0,2.0,1.0,3.0,1.0,good training but salary not sufficient good environmental but job period limited,differentiation about worker and official management
4737,Store Manager,"Ankleshwar, Gujarat",,SCM & Logistics Department,7 Jul 2022,4.0,3.0,4.0,3.0,4.0,4.0,1.0,timely salary,etc showing huge but take home very less everything is hide
4738,Assistant Manager,CHENNAI,,,0 Jun 2022,5.0,4.0,4.0,4.0,5.0,4.0,4.0,company policies and work culture,nothing
4739,Department Manager,"Chennai, Tamil Nadu",,Construction Engineering Department,6 Jul 2022,3.0,2.0,5.0,3.0,4.0,3.0,2.0,undated salary,promotion appraisal system
4740,Qa/qc Civil Engineer,"Vapi, Gujarat",Full Time,QaQc civil engineer Department,4 Jul 2022,2.0,2.0,5.0,5.0,5.0,1.0,5.0,i like it,so work time
4741,System And Network Administrator,Bangalore,Contractual,IT Network Department,1 May 2022,2.0,1.0,1.0,1.0,5.0,1.0,1.0,company name,no career growth and flexibility
4742,Operations Manager,India,,,8 Oct 2022,4.0,3.0,3.0,3.0,3.0,4.0,3.0,on time salary,working hours
4743,Quality And Process Engineer,Chennai,,Business Process Quality Department,7 Jan 2022,5.0,5.0,5.0,2.0,5.0,5.0,5.0,company culture are very good and people and family really matters,compensation for support group
4744,Supply Chain,Vadodara,,Procurement & Purchase Department,9 Apr 2022,3.0,2.0,3.0,2.0,3.0,3.0,3.0,work culture learning,compensation work life balance increament
4745,Project Accountant,JRS Site Under ABCL,,Accounting & Taxation Department,9 Jun 2022,5.0,4.0,5.0,5.0,5.0,5.0,5.0,good company and enjoy my work,i like to work at large tour limited
4746,Concrete Pump Operator,Mthl Project Package-1 Sewri Mumbai,,Plant & Machinery Department,3 Jan 2022,1.0,1.0,3.0,1.0,1.0,4.0,2.0,roi reason ni had his se company to like king jay worker ke like poor company had,l t company ka management workers ka soon choose roi had am ke his se salary ni mild ha had our na roi facility de roi had
4747,Assistant Manager,Chennai,,,5 Oct 2022,5.0,3.0,3.0,4.0,5.0,4.0,4.0,good to be in,na this is
4748,Diploma Civil Engineer   (working remotely),,,Construction Engineering Department,7 May 2023,5.0,5.0,5.0,4.0,4.0,4.0,3.0,like all work safely and nice working,like no other people dislike
4749,Assistant Manager,Mumbai,,Quality Assurance and Testing Department,3 Jan 2022,5.0,3.0,4.0,3.0,5.0,4.0,3.0,job security is good those who want to settle then this company is good,the internal management is not good should hire someone with that required skill set
4750,Project Manager,New Delhi,Full Time,,8 Jun 2022,5.0,5.0,5.0,5.0,4.0,5.0,4.0,god working culture and subordinates are very cooperative,good
4751,Project Execution Engineer,Chennai,Full Time,Construction Engineering Department,4 Jun 2022,4.0,2.0,4.0,3.0,2.0,3.0,3.0,work life balance,work culture is excellent job security is good
4752,Planning,Chennai,Full Time,Construction Engineering Department,2 May 2022,5.0,4.0,5.0,5.0,5.0,5.0,5.0,salary on the time,no option for dislike
4753,Senior Document Controller,"Doha, Doha",Full Time,Administration Department,7 Sep 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,depending on the project work load will vary but lit doesn t give good compensation,processes and systems runs the company
